ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS,Same_Timezone
291327,2012,6,1/6/2012,20304,OO,5427,12892,LAX,Los Angeles,CA,SMX,Santa Maria,CA,2225,111,111,111,134,America/Los_Angeles,1.32592E+12,America/Los_Angeles,1.32584E+12,TRUE
538466,2012,24,1/24/2012,19930,AS,70,12523,JNU,Juneau,AK,SIT,Sitka,AK,2225,111,111,111,95,America/Anchorage,1.32748E+12,America/Anchorage,1.3274E+12,TRUE
560191,2012,1,1/1/2012,19790,DL,1995,14869,SLC,Salt Lake City,UT,SAN,San Diego,CA,2225,111,111,111,626,America/Denver,1.32548E+12,America/Los_Angeles,1.32541E+12,FALSE
777460,2012,6,1/6/2012,20304,OO,5427,12892,LAX,Los Angeles,CA,SMX,Santa Maria,CA,2225,111,111,111,134,America/Los_Angeles,1.32592E+12,America/Los_Angeles,1.32584E+12,TRUE
1024599,2012,24,1/24/2012,19930,AS,70,12523,JNU,Juneau,AK,SIT,Sitka,AK,2225,111,111,111,95,America/Anchorage,1.32748E+12,America/Anchorage,1.3274E+12,TRUE
1046324,2012,1,1/1/2012,19790,DL,1995,14869,SLC,Salt Lake City,UT,SAN,San Diego,CA,2225,111,111,111,626,America/Denver,1.32548E+12,America/Los_Angeles,1.32541E+12,FALSE
326432,2012,31,1/31/2012,19977,UA,1197,12892,LAX,Los Angeles,CA,EWR,Newark,NJ,2221,806,111,111,2454,America/Los_Angeles,1.32808E+12,America/New_York,1.32802E+12,FALSE
812565,2012,31,1/31/2012,19977,UA,1197,12892,LAX,Los Angeles,CA,EWR,Newark,NJ,2221,806,111,111,2454,America/Los_Angeles,1.32808E+12,America/New_York,1.32802E+12,FALSE
153216,2012,22,1/22/2012,20366,EV,5088,10397,ATL,Atlanta,GA,GNV,Gainesville,FL,2220,111,111,111,300,America/New_York,1.32729E+12,America/New_York,1.32721E+12,TRUE
639349,2012,22,1/22/2012,20366,EV,5088,10397,ATL,Atlanta,GA,GNV,Gainesville,FL,2220,111,111,111,300,America/New_York,1.32729E+12,America/New_York,1.32721E+12,TRUE
107880,2012,20,1/20/2012,19790,DL,1438,10397,ATL,Atlanta,GA,DCA,Washington,DC,2219,111,111,111,547,America/New_York,1.32712E+12,America/New_York,1.32704E+12,TRUE
594013,2012,20,1/20/2012,19790,DL,1438,10397,ATL,Atlanta,GA,DCA,Washington,DC,2219,111,111,111,547,America/New_York,1.32712E+12,America/New_York,1.32704E+12,TRUE
67156,2012,21,1/21/2012,20409,B6,100,12892,LAX,Los Angeles,CA,FLL,Fort Lauderdale,FL,2217,719,111,111,2342,America/Los_Angeles,1.32721E+12,America/New_York,1.32715E+12,FALSE
553289,2012,21,1/21/2012,20409,B6,100,12892,LAX,Los Angeles,CA,FLL,Fort Lauderdale,FL,2217,719,111,111,2342,America/Los_Angeles,1.32721E+12,America/New_York,1.32715E+12,FALSE
1039422,2012,21,1/21/2012,20409,B6,100,12892,LAX,Los Angeles,CA,FLL,Fort Lauderdale,FL,2217,719,111,111,2342,America/Los_Angeles,1.32721E+12,America/New_York,1.32715E+12,FALSE
